训练类型	训练课程名称	方案分类	时长	适应症	训练方案概述	训练方案设计
I类肌	I类肌高强度IV	电刺激	17分钟			
I类肌	I类肌高强度IV	电刺激	20分钟			
I类肌	I类肌高强度IV	电刺激	25分钟			
I类肌	I类肌高强度IV	电刺激	30分钟			
I类肌	I类肌高强度V	电刺激	1分钟			
I类肌	I类肌高强度V	电刺激	5分钟			
I类肌	I类肌高强度V	电刺激	8分钟			
I类肌	I类肌高强度V	电刺激	9分钟			
I类肌	I类肌高强度V	电刺激	10分钟			
I类肌	I类肌高强度V	电刺激	17分钟			
II类肌	II类肌中强度I	电刺激	5分钟			
II类肌	II类肌中强度I	电刺激	10分钟			
II类肌	II类肌中强度I	电刺激	30分钟			
II类肌	II类肌中强度II	电刺激	5分钟			
II类肌	II类肌低强度I	电刺激	5分钟			
II类肌	II类肌低强度I	电刺激	6分钟			
II类肌	II类肌低强度I	电刺激	8分钟			
II类肌	II类肌低强度I	电刺激	10分钟			
II类肌	II类肌低强度I	电刺激	15分钟			
II类肌	II类肌高强度I	电刺激	5分钟			
II类肌	II类肌高强度II	电刺激	12分钟			
II类肌	II类肌高强度II	电刺激	15分钟			
II类肌	II类肌高强度II	电刺激	20分钟			
混合电刺激	混合电刺激	电刺激	10分钟			
混合电刺激	混合电刺激	电刺激	15分钟			
镇痛	低频镇痛	电刺激	5分钟			
镇痛	低频镇痛	电刺激	10分钟			
镇痛	低频镇痛	电刺激	15分钟			
镇痛	高频镇痛	电刺激	10分钟			
增强兴奋	增强兴奋性	电刺激	10分钟			
增强兴奋	增强兴奋性I	电刺激	5分钟			
增强兴奋	增强兴奋性II	电刺激	10分钟			
增强兴奋	增强敏感性	电刺激	15分钟			
增强兴奋	增强敏感性	电刺激	30分钟			
收缩	快速收缩训练	凯格尔训练	5分钟			
收缩	快速收缩训练	凯格尔训练	15分钟			
收缩	渐进控制收缩训练	凯格尔训练	10分钟			
收缩	渐进控制收缩训练	凯格尔训练	15分钟			
感觉恢复	本体感觉恢复	电刺激	20分钟			
感觉恢复	本体感觉恢复	电刺激	25分钟			
混合肌	混合肌初步训练	凯格尔训练	5分钟			
混合肌	混合肌初步训练	凯格尔训练	10分钟			
混合肌	混合肌初步训练	凯格尔训练	15分钟			
混合肌	混合肌初步训练	凯格尔训练	20分钟			
混合肌	混合肌增强训练	凯格尔训练	5分钟			
混合肌	混合肌增强训练	凯格尔训练	10分钟			
混合肌	混合肌增强训练	凯格尔训练	15分钟			
盆底肌协调性	盆底肌功能协调性训练	凯格尔训练	10分钟			
盆底肌协调性	盆底肌功能协调性训练	凯格尔训练	15分钟			
盆底肌协调性	盆底肌功能协调性训练	凯格尔训练	20分钟			
盆底肌协调性	腹部-会阴部协调训练	凯格尔训练	10分钟			
盆底肌协调性	腹部-会阴部协调训练	凯格尔训练	15分钟			
牵张放松	牵张放松-简单	凯格尔训练	10分钟			
肌肉放松	肌肉收缩放松训练	凯格尔训练	5分钟			
肌肉放松	肌肉收缩放松训练	凯格尔训练	10分钟			
肌肉放松	肌肉收缩放松训练	凯格尔训练	15分钟			
肌肉放松	肌肉放松	凯格尔训练	5分钟			
肌肉放松	肌肉放松	凯格尔训练	10分钟			
肌肉放松	肌肉放松	凯格尔训练	15分钟			
肌肉放松	肌肉放松	凯格尔训练	17分钟			
肌肉放松	肌肉放松	凯格尔训练	20分钟			
肌肉放松	肌肉放松	凯格尔训练	30分钟			
肌肉放松	肌肉放松训练	凯格尔训练	10分钟			
遗尿肌	遗尿肌收缩抑制	电刺激	10分钟			
遗尿肌	遗尿肌过度活动抑制低强度	电刺激	6分钟			
遗尿肌	遗尿肌过度活动抑制低强度	电刺激	10分钟			
遗尿肌	遗尿肌过度活动抑制低强度	电刺激	20分钟			
遗尿肌	遗尿肌过度活动抑制高强度	电刺激	10分钟			
音乐放松	音乐放松01	音乐放松	5分钟			
音乐放松	音乐放松01	音乐放松	10分钟			
音乐放松	音乐放松02	音乐放松	5分钟			
音乐放松	音乐放松02	音乐放松	10分钟			
音乐放松	音乐放松05	音乐放松	10分钟			
游戏	饥饿鲨鱼	游戏互动	10分钟			
游戏	饥饿鲨鱼	游戏互动	15分钟			
游戏	欢乐娃娃机	游戏互动	5分钟			
游戏	欢乐娃娃机	游戏互动	10分钟			
游戏	水母芭蕾	游戏互动	5分钟			
游戏	水母芭蕾	游戏互动	10分钟			
游戏	滑板旅行	游戏互动	5分钟			
游戏	滑板旅行	游戏互动	10分钟			
